experiment_id,dataset,commit,hardware,config_path,wall_clock_seconds,gpu_peak_gb,intermediate_outputs,final_results,paper_numbers,notes
exp_stage4_smoke_20260510,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/exp_stage4_smoke_20260510/config.yaml,0.025905132293701172,n/a,experiments/results/plan_b_stage4/exp_stage4_smoke_20260510/run_manifest.json,experiments/results/plan_b_stage4/exp_stage4_smoke_20260510/metrics.json,"num_pairs=4; num_drops=1; dedup_rate=0.25","Smoke only; simple hash backend; not paper evidence"
exp_stage4_smoke_cache_20260510,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/exp_stage4_smoke_cache_20260510/config.yaml,0.029635906219482422,n/a,experiments/results/plan_b_stage4/exp_stage4_smoke_cache_20260510/run_manifest.json,experiments/results/plan_b_stage4/exp_stage4_smoke_cache_20260510/metrics.json,"num_pairs=4; num_drops=1; dedup_rate=0.25","Smoke only; simple hash backend with embedding cache; not paper evidence"
smoke_stage4_candidates_20260511,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/candidates/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/candidates/run_manifest.json,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/candidates/metrics.json,"num_pairs=4; num_candidates=6","Smoke only; simple hash backend; not paper evidence"
smoke_stage4_annotation_20260511,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/annotation/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/annotation/run_manifest.json,experiments/results/plan_b_stage4/smoke_stage4_annotation_flow/annotation/metrics.json,"annotation_rows=6; audit_rows=3","Smoke only; annotation sheet flow; not paper evidence"
smoke_stage4_eval_joint_20260511,synthetic-labeled-annotation-6rows,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_joint/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_joint/run_manifest.json,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_joint/metrics.json,"num_labeled_rows=6; best_f1=1.0","Smoke only; synthetic labels; not paper evidence"
exp_stage4_openclip_smoke_20260511,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/exp_stage4_openclip_smoke_20260511/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/exp_stage4_openclip_smoke_20260511/run_manifest.json,experiments/results/plan_b_stage4/exp_stage4_openclip_smoke_20260511/metrics.json,"num_pairs=4; num_drops=1; dedup_rate=0.25","Smoke only; open_clip CPU backend; not paper evidence"
exp_stage4_openclip_candidates_smoke_20260511,synthetic-sidecar-4pairs,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/exp_stage4_openclip_candidates_smoke_20260511/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/exp_stage4_openclip_candidates_smoke_20260511/run_manifest.json,experiments/results/plan_b_stage4/exp_stage4_openclip_candidates_smoke_20260511/metrics.json,"num_pairs=4; num_candidates=6","Smoke only; open_clip cache backend; not paper evidence"
smoke_stage4_adjudication_20260511,synthetic-audited-annotation-6rows,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/smoke_stage4_adjudication/adjudicated/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/smoke_stage4_adjudication/adjudicated/run_manifest.json,experiments/results/plan_b_stage4/smoke_stage4_adjudication/adjudicated/metrics.json,"audited_rows=3; agreement_rate=0.667; conflicts=1","Smoke only; synthetic audit labels; not paper evidence"
smoke_stage4_eval_all_20260511,synthetic-labeled-annotation-6rows,1c3243af0332ecc84deff3ecfa428ef49d34ab13,Darwin arm64 Python 3.13.12,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_all/config.yaml,n/a,n/a,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_all/run_manifest.json,experiments/results/plan_b_stage4/smoke_stage4_evaluation/eval_all/metrics.json,"scores=image|text|naive_union|joint|max","Smoke only; synthetic labels; not paper evidence"
cc3m_subset_1k_20260512,WeiChow/cc3m train streaming,a70b383,Windows 11 RTX 3090 Python 3.12.13,D:\data\cc3m_subset\prepare_metrics.json,31.413506746292114,n/a,experiments/results/plan_b_stage4/windows_sync/cc3m_subset_1k_20260512/manifest.csv,experiments/results/plan_b_stage4/windows_sync/cc3m_subset_1k_20260512/validation_summary.json,"saved_pairs=1000; jpg_count=1000; txt_count=1000; manifest_rows=1000","Data-prep source-of-truth for Phase 3; not a paper metric"
